source,title,storyContent,pubDate
CNN,"Some Republicans, including Roy Blunt, would like to see Trump at Biden's inauguration","When President Donald Trump lost this year's election to Joe Biden, almost nobody around him said they could envision the losing incumbent attending his successor's inauguration.",2020-11-29T18:22:00Z
CBS Sports,"Titans at Colts score: Live updates, game stats, TV channel, streaming info for Week 12 AFC South battle",Follow along with all the action in real time as this AFC South showdown unfolds,2020-11-29T18:22:00Z
Business Insider,"Trump: I wanted to file 'one big, beautiful lawsuit'","""What kind of a court system is this?"" the president said he asked when his lawyers told him he didn't have the legal ground to file such a suit.",2020-11-29T18:00:15Z
CNBC,Trump says his election challenges probably won't make it to the Supreme Court,Donald Trump acknowledged his vanishing path to overturning the results of the 2020 election in court during the first full interview since his defeat.,2020-11-29T17:11:00Z
IGN,Best 4K UHD and Blu-Ray Cyber Monday Deals,"Here are all the absolute best 4K UHD Blu-ray discounts for Cyber Monday. It's time to really put your new PS5 or Xbox Series X to the test, and utilise those 4K disc drives as much as possible.",2020-11-29T17:05:45Z
New York Times,New York City Will Reopen Elementary Schools and Phase Out Hybrid Learning,Mayor Bill de Blasio announced an abrupt shift in managing schools during the pandemic. Officials had faced criticism that they prioritized activities like indoor dining over the well-being of children.,2020-11-29T16:59:00Z
Theguardian.comus-news,Mystery metal monolith vanishes from Utah desert,"Metal structure that prompted multiple theories about how it came to be was removed by ‘an unknown party’, officials say",2020-11-29T16:58:00Z
digitalspy.com,Black Panther gets a new Marvel intro sequence in tribute to Chadwick Boseman,The late actor would have turned 44 today.,2020-11-29T16:48:00Z
Channel3000.com - WISC-TV3,Dane County Clerk: Recount certified; no evidence of voter fraud,"The Dane County Board of Canvassers certified election results Sunday, concluding the county's recount.",2020-11-29T16:35:00Z
New York Times,"Dave Prowse, Man Behind Darth Vader’s Mask, Is Dead at 85",Mr. Prowse went from being a weight lifting champion in Britain to helping portray one of the most memorable villains in movie history. But his voice did not make the edit.,2020-11-29T16:26:00Z
CNBC,'The Croods: A New Age' tallies highest box office opening since the pandemic began,"""The Croods: A New Age"" stunned at the box office this weekend, hauling in the biggest opening of any film released during the pandemic.",2020-11-29T16:13:00Z
New York Post,Steph Curry pokes fun at Nate Robinson's knockout as Twitter goes wild,"The hits didn’t stop for Nate Robinson following Jake Paul’s knockout punch. The former Knicks star became Twitter’s punching bag on Saturday night, with Steph Curry and wife Ayes…",2020-11-29T16:13:00Z
KCCI Des Moines,"15 more Iowans died from COVID-19, cases increase by 2,013","As of 10 a.m. Sunday, the Iowa DPH website reports 227,796 confirmed cases statewide since Iowa’s outbreak began.",2020-11-29T16:00:00Z
CNN,Switzerland votes against boosting business liability for rights abuses abroad,A vote on whether Swiss companies like Nestlé and Glencore should face greater liability at home for human rights and environmental abuses committed abroad is set to fail after a divisive campaign.,2020-11-29T15:41:00Z
Politico,POLITICO Playbook: 'Do you think it was stolen?',And Iran-Israel tensions rise.,2020-11-29T15:39:00Z
Push Square,Poll: Are You Happy With Your PS Plus Games for December 2020?,Plus or minus?,2020-11-29T15:30:00Z
CNN,Biden administration prepares to inherit controversial Trump immigration policies,"When President-elect Joe Biden comes into office, he will inherit the Trump administration's restrictionist immigration agenda, which cut access to asylum and has kept migrants in limbo in Mexico while they await humanitarian protection in the US.",2020-11-29T15:02:00Z
NBC News,Fauci warns Thanksgiving travel could make current Covid surge worse,"Dr. Anthony Fauci warned that the travel-heavy Thanksgiving holiday could lead to a ""superimposed"" surge in Covid-19 cases.",2020-11-29T15:00:00Z
Theguardian.comworld,Iranian nuclear chief's body prepared for burial as anger focused on Israel and US,Newspaper publishes comment urging retaliation with strike on Haifa that ‘causes heavy human casualties’,2020-11-29T14:31:00Z
New York Times,"Watch a Lunar Eclipse, or at Least Try To","Penumbral eclipses are subtle, but there are good reasons to try to notice one.",2020-11-29T14:25:00Z
